variable,min,max
TIMESTAMP,NA,NA
RECORD,NA,NA
Fc_wpl,-15,15
LE_wpl,-65,65
Hc,-350,425
tau,-2,2
u_star,NA,NA
n_Tot,1799,18701
CSAT_n_Tot,1799,18001
CO2_n_Tot,1799,18001
H2O_n_Tot,1799,18001
Ux_Avg,-100,100
Uy_Avg,-100,100
Uz_Avg,-100,100
Ts_Avg,-50,50
co2_mean_Avg,400,800
h2o_mean_Avg,0,25
co2_um_m_Avg,200,800
h2o_mm_m_Avg,0,100
rho_a_mean_Avg,0.9,2
rho_a_IRGA,0.9,2
press_Avg,60,110
wnd_dir_compass,NA,NA
wnd_dir_csat3,NA,NA
wnd_spd,0,150
rslt_wnd_spd,0,150
std_wnd_dir,NA,NA
stdev_Ts,NA,NA
stdev_co2,NA,NA
stdev_h2o,NA,NA
stdev_Ux,NA,NA
stdev_Uy,NA,NA
stdev_Uz,NA,NA
cov_Ts_Ux,NA,NA
cov_Ts_Uy,NA,NA
cov_Ts_Uz,NA,NA
cov_Ux_Uy,NA,NA
cov_Ux_Uz,NA,NA
cov_Uy_Uz,NA,NA
cov_co2_Ux,NA,NA
cov_co2_Uy,NA,NA
cov_co2_Uz,NA,NA
cov_h2o_Ux,NA,NA
cov_h2o_Uy,NA,NA
cov_h2o_Uz,NA,NA
co22_mean_Avg,400,800
h2o2_mean_Avg,0,25
co22_dry_Avg,400,460
h2o2_dry_Avg,0,1
press2_Avg,60,110
irga2_Tin_Avg,NA,NA
irga2_Tout_Avg,NA,NA
stdev_co22,NA,NA
stdev_h2o2,NA,NA
cov_co22_Ux2,NA,NA
cov_co22_Uy2,NA,NA
cov_co22_Uz2,NA,NA
cov_h2o2_Ux2,NA,NA
cov_h2o2_Uy2,NA,NA
cov_h2o2_Uz2,NA,NA
panelT_1000x_Avg,-20,40
batt_1000x_Avg,12.5,13.5
battbank_Avg,20,35
panelV_Avg,0,45
low12V_1000x_Tot,0,0
watchdog_1000x_Tot,0,0
battbank_8100_Avg,0,100
panelV_8100_Avg,0,15
csat_warnings,0,0
irga_warnings,0,0
del_T_f_Tot,0,0
sig_lck_f_Tot,0,0
amp_h_f_Tot,0,0
amp_l_f_Tot,0,0
chopper_f_Tot,0,0
detector_f_Tot,0,0
pll_f_Tot,0,0
sync_f_Tot,0,0
agc_Avg,45,56
chopper2_f_Tot,NA,NA
detector2_f_Tot,NA,NA
pll2_f_Tot,NA,NA
sync2_f_Tot,NA,NA
agc2_Avg,NA,NA
Rad_short_Up_Avg,-10,1200
Rad_short_Dn_Avg,-10,1000
Rad_long_Up__Avg,-200,200
Rad_long_Dn__Avg,-30,30
CG3UpCo_Avg,150,425
CG3DnCo_Avg,230,505
NetTot_Avg,-130,1000
NetRs_Avg,-8,625
NetRl_Avg,-180,2
CNR1TC_Avg,-20,35
par_faceup_Avg,0,2300
par_facedown_Avg,-10,400
AirTC_Avg,-20,35
RH_hmp_Avg,0,1
RTD_temp_Avg,-20,35
TargmV_Avg,-0.15,0.15
SBTempC_Avg,-16,50
TargTempC_Avg,-25,30
rain_Tot,0,30
e_sat_Avg,0,4
e_sat_IRGA,0,5
e_hmp_mean_Avg,0,2
h2o_hmp_mean_Avg,0,20
WS_ms_sentry_WVc(1),0,400
WS_ms_sentry_WVc(2),0,400
WS_ms_sentry_WVc(3),0,400
WS_ms_sentry_Avg,0,400
WindDir_sentry_Avg,0,400
SWC_G1_2p5_Avg,NA,NA
SWC_G1_12p5_Avg,NA,NA
SWC_G1_22p5_Avg,NA,NA
SWC_G1_37p5_Avg,NA,NA
SWC_G1_52p5_Avg,NA,NA
SWC_G2_2p5_Avg,NA,NA
SWC_G2_12p5_Avg,NA,NA
SWC_G2_22p5_Avg,NA,NA
SWC_G2_37p5_Avg,NA,NA
SWC_G2_52p5_Avg,NA,NA
SWC_O1_2p5_Avg,NA,NA
SWC_O1_12p5_Avg,NA,NA
SWC_O1_22p5_Avg,NA,NA
SWC_O1_37p5_Avg,NA,NA
SWC_O1_52p5_Avg,NA,NA
SWC_O2_2p5_Avg,NA,NA
SWC_O2_12p5_Avg,NA,NA
SWC_O2_22p5_Avg,NA,NA
SWC_O2_37p5_Avg,NA,NA
SWC_O2_52p5_Avg,NA,NA
SoilT_G1_2p5_Avg,NA,NA
SoilT_G1_12p5_Avg,NA,NA
SoilT_G1_22p5_Avg,NA,NA
SoilT_G1_37p5_Avg,NA,NA
SoilT_G1_52p5_Avg,NA,NA
SoilT_G2_2p5_Avg,NA,NA
SoilT_G2_12p5_Avg,NA,NA
SoilT_G2_22p5_Avg,NA,NA
SoilT_G2_37p5_Avg,NA,NA
SoilT_G2_52p5_Avg,NA,NA
SoilT_O1_2p5_Avg,NA,NA
SoilT_O1_12p5_Avg,NA,NA
SoilT_O1_22p5_Avg,NA,NA
SoilT_O1_37p5_Avg,NA,NA
SoilT_O1_52p5_Avg,NA,NA
SoilT_O2_2p5_Avg,NA,NA
SoilT_O2_12p5_Avg,NA,NA
SoilT_O2_22p5_Avg,NA,NA
SoilT_O2_37p5_Avg,NA,NA
SoilT_8100_4_Avg,NA,NA
SoilT_8100_5_Avg,NA,NA
SoilT_8100_8_Avg,NA,NA
SoilT_8100_9_Avg,NA,NA
SoilT_8100_12_Avg,NA,NA
SoilT_8100_14_Avg,NA,NA
Soil_CO2_G1_5_Avg,NA,NA
Soil_CO2_G1_10_Avg,NA,NA
Soil_CO2_G1_30_Avg,NA,NA
Soil_CO2_G2_5_Avg,NA,NA
Soil_CO2_G2_10_Avg,NA,NA
Soil_CO2_G2_30_Avg,NA,NA
Soil_CO2_G3_5_Avg,NA,NA
Soil_CO2_G3_10_Avg,NA,NA
Soil_CO2_G3_30_Avg,NA,NA
Soil_CO2_Surface_Avg,NA,NA
shf_grass_1_Avg,NA,NA
shf_grass_2_Avg,NA,NA
shf_open_1_Avg,NA,NA
shf_open_2_Avg,NA,NA
TCAV_grass_2_Avg,NA,NA
TCAV_open_1_Avg,NA,NA
irga2_flow_lpm_Avg,NA,NA
irga2_drive_per_Avg,NA,NA
daysonCard,0,45
crdFlag_Tot,0,0
crdMbFree,2200,10000
SkippedScan,-0.01,0.01
SkippedSystemScan,-0.01,0.01
