"TOA5","Litvak - SEN Flux","CR1000X","2100","CR1000X.Std.05.02","CPU:UBG_1KX_EasyFluxDL_4.3.25.CR1X","59351","flux"
"TIMESTAMP","RECORD","Fc_wpl","LE_wpl","Hc","tau","u_star","CSAT_n_Tot","CO2_n_Tot","H2O_n_Tot","Ux_Avg","Uy_Avg","Uz_Avg","Ts_Avg","co2_mean_Avg","h2o_mean_Avg","co2_um_m_Avg","h2o_mm_m_Avg","rho_a_mean_Avg","rho_a_IRGA","press_Avg","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","std_wnd_dir","stdev_Ts","stdev_co2","stdev_h2o","stdev_Ux","stdev_Uy","stdev_Uz","cov_Ts_Ux","cov_Ts_Uy","cov_Ts_Uz","cov_Ux_Uy","cov_Ux_Uz","cov_Uy_Uz","cov_co2_Ux","cov_co2_Uy","cov_co2_Uz","cov_h2o_Ux","cov_h2o_Uy","cov_h2o_Uz","panelT_1000x_Avg","batt_1000x_Avg","battbank_Avg","panelV_Avg","low12V_1000x_Tot","watchdog_1000x_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","Rad_short_Up_Avg","Rad_short_Dn_Avg","Rad_long_Up_Avg","Rad_long_Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","NetTot_Avg","NetRs_Avg","NetRl_Avg","CNR1TC_Avg","par_faceup_Avg","par_facedown_Avg","AirTC_Avg","RH_Avg","RTD_50cm_Avg","RTD_150cm_Avg","RTD_250cm_Avg","TargmV_Avg","SBTempC_Avg","TargTempC_Avg","rain_Tot","e_hmp_mean_Avg","e_sat_Avg","h2o_hmp_mean_Avg","e_sat_IRGA","Wind_Sentry_WVc(1)","Wind_Sentry_WVc(2)","WS_ms_sentry_Avg","WindDir_sentry_Avg","SWC_BLUG1_2p5_Avg","SWC_BLUG1_12p5_Avg","SWC_BLUG1_22p5_Avg","SWC_BLUG1_37p5_Avg","SWC_BLUG1_52p5_Avg","SWC_O1_2p5_Avg","SWC_O1_12p5_Avg","SWC_O1_22p5_Avg","SWC_O1_37p5_Avg","SWC_O1_52p5_Avg","SWC_BLAG1_2p5_Avg","SWC_BLAG1_12p5_Avg","SWC_BLAG1_22p5_Avg","SWC_BLAG1_37p5_Avg","SWC_BLAG1_52p5_Avg","SoilT_BLA_2p5_Avg","SoilT_BLA_12p5_Avg","SoilT_BLA_22p5_Avg","SoilT_BLA_37p5_Avg","SoilT_BLA_52p5_Avg","SoilT_BLU_2p5_Avg","SoilT_BLU_12p5_Avg","SoilT_BLU_22p5_Avg","SoilT_BLU_37p5_Avg","SoilT_BLU_52p5_Avg","SoilT_O1_2p5_Avg","SoilT_O1_12p5_Avg","SoilT_O1_22p5_Avg","SoilT_O1_37p5_Avg","SoilT_O1_52p5_Avg","Soil_CO2_O_5_Avg","Soil_CO2_O_10_Avg","Soil_CO2_O_30_Avg","Soil_CO2_Blu_5_Avg","Soil_CO2_Blu_10_Avg","Soil_CO2_Blu_30_Avg","Soil_CO2_Bla_5_Avg","Soil_CO2_Bla_10_Avg","Soil_CO2_Bla_30_Avg","Soil_CO2_Surface_Avg","daysonCard","crdFlag_Tot","crdMbFree","SkippedScan","SkippedSystemScan"
"TS","RN","umolCO2 m-2 s-1","W m-2","W m-2","kg m-1 s-2","m s-1","samples","samples","samples","m s-1","m s-1","m s-1","deg C","mg m-3","g m-3","umol/mol","mmol/mol","kg/m^3","kg m-3","kPa","decimal degrees","decimal degrees","m s-1","m s-1","decimal degrees","deg C","mg m-3","g m-3","m s-1","m s-1","m s-1","deg C m s-1","deg C m s-1","deg C m s-1","m2 s-2","m2 s-2","m2 s-2","mg m-2 s-1","mg m-2 s-1","mg m-2 s-1","g m-2 s-1","g m-2 s-1","g m-2 s-1","deg C","V","Volts","Volts","unitless","unitless","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","adimensional","W/meter","W/meter","W/meter","W/meter","W/meter","W/meter","W/meter","W/meter","W/meter","Deg C","umolm2s","umolm2s","Deg C","%","","","","","","","mm","kPa","kPa","g/m^3","kPa","","","m/s","Degrees","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Smp","Avg","Smp","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Tot","Smp","Smp","Smp"
"2025-04-03 11:00:00",0,-0.6217631,15.95064,163.2978,0.03594421,0.1873296,341,350,350,0.1880477,-2.744301,0.134511,8.54063,647.3885,3.401782,"NAN","NAN",0.002903149,1.024274,82.8316,266.08,273.92,2.791778,2.750737,9.821025,1.129896,2.742157,0.03396565,0.4670306,0.3370272,0.3135096,-0.2747588,-0.02221954,0.1583958,0.009347782,-0.0346252,-0.005133808,0.6214336,0.06212091,-0.3826012,-0.00830274,-0.001180463,0.004320193,0.03864611,0,14.32519,15.74167,0,0,9,0,9,9,9,9,0,0,0,0,44,733.245,201.984,-92.35838,67.56234,291.4181,451.3387,371.3402,531.2609,-159.9207,13.6495,2260.843,387.7722,10.54346,"NAN",11.82189,"NAN",12.22441,-8.5,11.97,"NAN",0,0.2648892,1.274702,0.005854511,1.084007,2.354002,355.69,2.354,168.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08884634,0.05072705,0.04020059,0.03701711,0.04553188,0.08750302,0.04961319,0.04118673,0.04138941,0.04054904,0.0697156,0.06430959,0.05254556,0.03916655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-04-03 11:30:00",1,29.39984,41.06509,243.5228,0.04293758,0.2048171,18000,17869,17886,-0.3004657,-1.678169,0.07739881,8.696198,658.5464,2.956096,424.6914,4.658372,1.016102,1.02354,82.81432,280.1509,259.8491,2.42337,1.704857,44.10548,1.293703,114.9541,1.174628,1.270996,1.866568,0.3934538,-0.008485995,-0.4174099,0.2553501,-0.451977,0.03539037,-0.113745,-1.940867,8.903151,0.3140798,0.07195524,0.250885,0.001673907,13.58289,13.32733,14.1704,15.91876,0,0,0,139,0,0,0,0,0,0,0,0,44.355,701.058,190.2682,-92.96162,65.86405,296.7935,455.6191,351.9642,510.7898,-158.8257,14.75611,2151.716,369.9069,10.78575,-1.122378E+10,11.90558,"NAN",13.08077,"NAN",12.06,"NAN",0,0.2638734,1.368742,2.049076,1.101221,1.510855,357.3738,1.511,142.2,18.90766,19.31604,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",21.50123,"NAN","NAN",31.75618,18.11629,13.97562,13.11807,15.7213,31.93265,18.18857,14.67554,14.30679,14.28899,25.31379,21.88136,18.47934,13.60968,0,418.4333,569.8363,715.9871,520.9544,622.3238,507.5941,9945.022,624.5372,1205.254,9965.615,0,0,7999,0,0
"2025-04-03 12:00:00",2,-0.8780051,25.26946,249.6053,0.03472603,0.1845037,18000,18000,18000,1.273523,-0.7351664,0.07706935,9.541931,654.1248,2.516238,423.1418,3.975676,1.015056,1.020105,82.7809,209.9966,330.0034,2.852272,1.470488,56.378,1.284144,3.01541,0.09880333,1.833031,2.040901,0.4208795,0.1859877,-0.4065706,0.2614661,0.3284709,0.1265083,-0.05754951,-0.187912,0.8200377,-0.6120246,0.05183721,-0.05018501,0.01125584,14.32056,13.11106,14.09297,16.4283,0,0,0,0,0,0,0,0,0,0,0,0,44,733.9764,198.8542,-95.57407,72.8562,298.694,467.1243,366.6919,535.1222,-168.4303,15.58838,2226.446,383.4288,11.06397,28.1735,13.06467,"NAN",14.02125,"NAN",11.82,"NAN",0,0.2323764,1.374957,1.992147,1.170532,1.585292,270.8997,1.585,220.4,18.98395,19.37425,21.4729,19.94513,19.96042,17.92078,21.28054,20.60416,21.10278,20.66112,"NAN","NAN",22.06531,22.25179,19.78661,33.55552,19.61023,14.61852,13.15234,15.6068,35.03191,19.68935,15.17939,14.40353,14.34155,28.87013,22.07334,18.91189,13.70859,0,408.5537,576.2409,710.0994,535.5176,631.0987,501.484,9962.26,636.2201,1222.239,9982.881,0,0,7999,0,0
"2025-04-03 12:30:00",3,-0.7739429,14.19161,303.5746,0.1150088,0.336277,17995,18000,18000,0.5260875,-2.160212,0.09589367,10.26261,652.65,2.467685,423.4453,3.910331,1.013756,1.017037,82.74171,256.3129,283.6871,3.077521,2.223353,42.67331,1.375403,3.207527,0.07234302,2.163695,1.572162,0.4428779,0.4469195,-0.1329967,0.3054308,-0.1433537,0.02486821,0.01211673,-0.9430273,0.1899853,-0.7078491,-0.06320354,0.02258401,0.001383572,14.72641,13.35081,14.14596,16.77896,0,0,5,0,0,0,5,0,0,0,0,0,44,772.5685,209.0512,-93.39542,80.2735,296.7116,470.3806,389.8484,563.5173,-173.6689,14.82482,2299.104,397.7878,11.83405,26.42366,13.53071,"NAN",14.11092,0.743,12.64,25.79,0,0.2253473,1.402737,1.820838,1.229644,1.464044,340.1665,1.464,190.9,19.03394,19.39997,21.45628,19.94931,19.95625,17.94786,21.29511,20.60624,21.11456,20.65833,20.16049,23.48392,22.0722,22.25207,19.78748,35.24838,21.13775,15.36327,13.08182,15.58237,36.56753,21.10011,15.67968,14.5531,14.27272,31.1981,23.21963,19.99615,13.81281,0,387.0119,574.6387,709.8404,541.1594,642.6246,532.5328,9962.138,631.7629,1231.452,9983.016,0,0,7999,0,0
"2025-04-03 13:00:00",4,-0.629804,20.07098,289.6337,0.1105091,0.3300605,18000,18000,18000,2.128468,-1.587121,0.1306404,10.91518,651.0464,2.283237,423.4259,3.626967,1.01068,1.014404,82.71615,216.7104,323.2896,3.23547,2.655057,34.30717,1.376105,3.245838,0.06850132,1.837596,1.596546,0.4320934,0.07997084,0.1284192,0.2825539,0.7521489,0.03853423,0.04665386,0.09452248,-0.3577037,-0.6400155,-0.04564367,-0.05171309,0.005236296,15.13128,13.31526,14.15691,16.60855,0,0,0,0,0,0,0,0,0,0,0,0,44,708.7463,190.0739,-93.49819,75.79142,297.4059,466.6955,349.3828,518.6724,-169.2896,14.97119,2065.847,363.1978,12.10572,23.40446,14.20949,"NAN",14.36931,0.749,12.36,25.62,0,0.2015962,1.44382,1.581479,1.286513,2.254213,299.993,2.254,258.8,19.07425,19.43119,21.51177,19.94791,19.95486,17.96458,21.31521,20.60833,21.09586,20.65972,20.18856,23.54572,22.08123,22.2493,19.7778,34.67525,22.49217,16.08734,13.21101,15.5066,36.96815,22.24576,16.31397,14.68168,14.33786,32.42398,24.54626,21.18353,13.91347,0,421.654,578.0971,708.4633,570.6606,640.6904,510.5527,9962.641,643.8326,1223.236,9982.746,0,0,7999,0,0
"2025-04-03 13:30:00",5,-0.4296229,13.96419,268.0958,0.1284039,0.3560798,18000,18000,18000,1.185671,-2.798864,0.1088133,11.27147,650.0122,2.258159,423.4527,3.592973,1.009457,1.012707,82.68159,247.0413,292.9587,3.573271,3.039649,31.30176,1.217666,2.841238,0.02246024,1.60474,1.794646,0.4304267,-0.07417557,0.1336,0.2568388,-0.006471634,0.0173831,0.02479613,0.3777166,-0.2900848,-0.5819617,-0.001284793,-0.008802772,0.003633734,15.38678,13.34505,14.153,16.50736,0,0,0,0,0,0,0,0,0,0,0,0,44,647.4678,171.7464,-92.31982,67.76418,303.5791,463.6631,315.6374,475.7214,-160.084,15.88612,1841.058,330.1078,12.63698,22.61637,14.44634,"NAN",14.73155,0.675,12.88,24.88,0,0.200145,1.460834,1.49505,1.316525,2.922684,336.8659,2.923,232.1,19.11107,19.45969,21.48274,19.94794,19.95486,17.96806,21.33333,20.61041,21.10138,20.65695,20.257,23.60617,22.09582,22.24862,19.775,34.2347,23.52242,16.83837,13.28864,15.53752,36.36937,23.21219,16.90264,14.96109,14.42939,32.47583,25.50764,22.23853,14.13966,0,433.6281,595.4289,711.9727,588.9873,660.5708,532.5218,9961.019,647.2214,1232.19,9983.132,0,0,7999,0,0
"2025-04-03 14:00:00",6,-0.4682086,9.218846,252.709,0.05918787,0.2420077,18000,18000,18000,1.304134,-2.994585,0.1040507,11.74602,648.4153,2.125585,423.2442,3.388619,1.007188,1.010588,82.64517,246.4671,293.5329,3.745497,3.26625,28.97411,1.260925,2.954404,0.05562124,1.758534,1.423511,0.4232999,-0.1003128,-0.1769954,0.2514665,0.7910208,0.005129516,0.01365769,0.4098022,0.4824851,-0.5715528,-0.02092864,0.02004962,0.0009170286,15.3226,13.20928,14.15909,16.89836,0,0,0,0,0,0,0,0,0,0,0,0,44,662.9127,176.9786,-98.12646,64.86521,296.9291,459.9208,322.9424,485.9341,-162.9917,15.73203,1847.792,337.4181,12.94862,20.65234,14.88992,"NAN",14.52893,0.635,13.08,24.39,0,0.1883694,1.560227,1.443872,1.360516,3.273471,333.1931,3.274,211.4,19.13885,19.48952,21.49282,19.95205,19.9521,17.95765,21.35692,20.61457,21.10206,20.65764,20.29921,23.66311,22.11039,22.25069,19.77363,33.51937,24.06717,17.44607,13.37737,15.50119,35.28673,23.71528,17.35404,15.14972,14.40891,31.86707,25.96951,22.92024,14.33512,0,428.0254,603.2349,709.4322,599.0139,660.6495,542.4972,9961.458,642.9274,1225.441,9982.41,0,0,7999,0,0
"2025-04-03 14:30:00",7,-1.04046,2.988348,183.129,0.1487646,0.3838386,18000,18000,18000,0.3975545,-2.684494,0.1307649,11.86783,647.3724,2.024379,422.8833,3.229697,1.005671,1.009723,82.60958,261.5761,278.4239,3.615369,2.713765,40.44982,0.9671807,2.395148,0.04189514,2.424221,1.140981,0.3807203,0.5869566,0.1214312,0.1777224,0.583004,0.1222228,0.04602718,-1.91464,-0.3771406,-0.4325748,-0.06551116,-0.004079157,-0.00034235,15.56531,13.02409,13.88236,15.15278,0,0,0,0,0,0,0,0,0,0,0,0,44,409.7618,110.6574,-81.22448,48.97071,311.5623,441.7574,168.9092,299.1044,-130.1952,15.31443,1158.159,216.3666,13.01029,19.47529,14.43707,"NAN",14.66793,"NAN",13.98,"NAN",0,0.179094,1.455086,1.404219,1.371035,2.069871,323.395,2.07,142.9,19.1569,19.51247,21.55694,19.94586,19.94861,17.95419,21.37705,20.61805,21.10976,20.65348,20.3187,23.7048,22.1229,22.24792,19.7736,31.90496,24.35463,17.9861,13.34375,15.55299,33.57726,24.12404,17.91791,15.43052,14.5698,31.10622,26.41738,23.42459,14.54881,0,417.5948,609.8297,701.9399,622.3051,674.235,536.7551,9961.971,661.4418,1201.449,9983.07,0,0,7999,0,0
