variable,min,max
TIMESTAMP,NA,NA
RECORD,NA,NA
Fc_wpl,-15,15
LE_wpl,-65,65
Hc,-350,425
tau,-2,2
u_star,NA,NA
CSAT_n_Tot,17999,18701
CO2_n_Tot,17999,18701
H2O_n_Tot,17999,18701
Ux_Avg,-100,50
Uy_Avg,-100,800
Uz_Avg,-50,25
Ts_Avg,-30,40
co2_mean_Avg,0,100
h2o_mean_Avg,200,2
co2_um_m_Avg,0,110
h2o_mm_m_Avg,0.9,NA
rho_a_mean_Avg,60,NA
rho_a_IRGA,NA,NA
press_Avg,NA,150
wnd_dir_compass,NA,150
wnd_dir_csat3,0,NA
wnd_spd,0,400
rslt_wnd_spd,NA,400
std_wnd_dir,0,400
WS_ms_4p5,0,400
W_dir_4p5,0,400
STD_W_dir_4p5,0,400
stdev_Ts,NA,NA
stdev_co2,NA,NA
stdev_h2o,NA,NA
stdev_Ux,NA,NA
stdev_Uy,NA,NA
stdev_Uz,NA,NA
cov_Ts_Ux,NA,NA
cov_Ts_Uy,NA,NA
cov_Ts_Uz,NA,NA
cov_Ux_Uy,NA,NA
cov_Ux_Uz,NA,NA
cov_Uy_Uz,NA,NA
cov_co2_Ux,NA,NA
cov_co2_Uy,NA,NA
cov_co2_Uz,NA,NA
cov_h2o_Ux,NA,40
cov_h2o_Uy,NA,13.5
cov_h2o_Uz,-20,35
panelT_1000_Avg,12.5,45
batt_1000_Avg,20,0.15
battbank_Avg,0,0
panelV_Avg,-0.15,0
low12V_1000_Tot,0,0
watchdog_1000_Tot,0,0
csat_warnings,0,0
irga_warnings,0,0
del_T_f_Tot,0,0
sig_lck_f_Tot,0,0
amp_h_f_Tot,0,0
amp_l_f_Tot,0,0
chopper_f_Tot,0,0
detector_f_Tot,0,56
pll_f_Tot,0,1200
sync_f_Tot,45,1000
agc_Avg,-10,200
Rad_short_Up_Avg,-10,30
Rad_short_Dn_Avg,-200,425
Rad_long_Up_Avg,-30,505
Rad_long_Dn_Avg,150,1000
CG3UpCo_Avg,230,625
CG3DnCo_Avg,-130,2
NetTot_Avg,-8,35
NetRs_Avg,-180,800
NetRl_Avg,-20,2300
CNR1TC_Avg,-250,400
par_faceup_Avg,-10,35
par_facedown_Avg,-20,35
AirTC_1p5_Avg,-20,35
AirTC_4p5_Avg,-20,35
AirTC_8p75_Avg,-20,35
AirTC_16_Avg,-20,35
AirTC_24_Avg,-20,35
RH_1p5_Avg,0,1
RH_4p5_Avg,0,1
RH_8p75_Avg,0,1
RH_16_Avg,0,1
RH_24_Avg,0,1
RTD_temp_Avg,-25,35
TargmV_Avg,NA,NA
SBTempC_Avg,0,20
TargTempC_Avg,0,10
rain_Tot,0,30
e_sat_Avg,NA,NA
e_sat_IRGA,NA,NA
e_hmp_mean_Avg,NA,NA
h2o_hmp_mean_Avg,NA,NA
SWC_P1_5_Avg,NA,NA
SWC_P1_10_Avg,NA,NA
SWC_P1_30_Avg,NA,NA
SWC_P1_60_Avg,NA,NA
SWC_P2_5_Avg,NA,NA
SWC_P2_10_Avg,NA,NA
SWC_P2_30_Avg,NA,NA
SWC_P2_60_Avg,NA,NA
SWC_P3_5_Avg,NA,NA
SWC_P3_10_Avg,NA,NA
SWC_P3_30_Avg,NA,NA
SWC_P3_60_Avg,NA,NA
SoilT_P1_5_Avg,NA,NA
SoilT_P1_10_Avg,NA,NA
SoilT_P1_30_Avg,NA,NA
SoilT_P1_60_Avg,NA,NA
SoilT_P2_5_Avg,NA,NA
SoilT_P2_10_Avg,NA,NA
SoilT_P2_30_Avg,NA,NA
SoilT_P2_60_Avg,NA,NA
SoilT_P3_5_Avg,NA,NA
SoilT_P3_10_Avg,NA,NA
SoilT_P3_30_Avg,NA,NA
SoilT_P3_60_Avg,NA,NA
Soil_CO2_P1_5_Avg,NA,NA
Soil_CO2_P1_10_Avg,NA,NA
Soil_CO2_P1_30_Avg,NA,NA
Soil_CO2_P1_60_Avg,NA,NA
Soil_CO2_P2_5_Avg,NA,NA
Soil_CO2_P2_10_Avg,NA,NA
Soil_CO2_P2_30_Avg,NA,NA
Soil_CO2_P2_60_Avg,NA,NA
Soil_CO2_P3_5_Avg,NA,NA
Soil_CO2_P3_10_Avg,NA,NA
Soil_CO2_P3_30_Avg,NA,NA
Soil_CO2_P3_60_Avg,NA,NA
shf_p1_Avg,NA,NA
shf_p2_Avg,NA,NA
shf_p3_Avg,NA,NA
pit1_soilT_shf_2_Avg,NA,NA
pit1_soilT_shf_6_Avg,NA,NA
tcav_p2_Avg,NA,NA
tcav_p3_Avg,NA,NA
daysonCard,NA,NA
crdFlag_Tot,NA,NA
crdMbFree,NA,NA
SkippedScan,NA,NA
SkippedSlowScan,NA,NA
