"variable","start","end","total_time_hrs","value_type"
"crdMbFree",2024-11-26,2024-12-10 18:30:00,354.5,"out-of-range"
"h2o_hmp_mean_Avg",2024-11-26,2024-12-10 18:30:00,354.5,"out-of-range"
"TargmV_Avg",2024-11-26,2024-12-10 18:30:00,354.5,"out-of-range"
"par_faceup_Avg",2024-12-02 23:30:00,2024-12-04 06:00:00,30.5,"out-of-range"
"par_faceup_Avg",2024-11-26,2024-11-28 04:30:00,52.5,"out-of-range"
"NetRs_Avg",2024-11-26 07:00:00,2024-12-10 17:00:00,346,"out-of-range"
"NetTot_Avg",2024-12-09 17:30:00,2024-12-09 18:00:00,0.5,"out-of-range"
"Rad_long_Up_Avg",2024-11-26,2024-12-10 18:30:00,354.5,"out-of-range"
"agc_Avg",2024-11-26,2024-12-10 18:30:00,354.5,"out-of-range"
"amp_l_f_Tot",2024-12-03 05:00:00,2024-12-03 08:00:00,3,"out-of-range"
"amp_h_f_Tot",2024-12-08 11:00:00,2024-12-08 12:30:00,1.5,"out-of-range"
"amp_h_f_Tot",2024-12-03 05:30:00,2024-12-03 08:00:00,2.5,"out-of-range"
"sig_lck_f_Tot",2024-12-03 06:00:00,2024-12-03 07:30:00,1.5,"out-of-range"
"del_T_f_Tot",2024-12-03 06:00:00,2024-12-03 07:00:00,1,"out-of-range"
"irga_warnings",2024-12-03 03:00:00,2024-12-03 04:00:00,1,"out-of-range"
"csat_warnings",2024-12-07 14:00:00,2024-12-08 12:30:00,22.5,"out-of-range"
"csat_warnings",2024-12-03 05:00:00,2024-12-03 08:00:00,3,"out-of-range"
"battbank_Avg",2024-12-04 12:00:00,2024-12-04 13:30:00,1.5,"out-of-range"
"co2_um_m_Avg",2024-12-04 05:00:00,2024-12-04 07:30:00,2.5,"out-of-range"
"co2_mean_Avg",2024-12-04 02:00:00,2024-12-04 09:30:00,7.5,"out-of-range"
"Hc",2024-11-26 09:00:00,2024-12-10 15:00:00,342,"out-of-range"
"LE_wpl",2024-12-07 09:00:00,2024-12-09 15:00:00,54,"out-of-range"
"LE_wpl",2024-11-26 09:30:00,2024-12-04 13:00:00,195.5,"out-of-range"
"Fc_wpl",2024-12-03 06:30:00,2024-12-04 10:00:00,27.5,"out-of-range"
