variable,min,max
TIMESTAMP,NA,NA
RECORD,NA,NA
GPS_Time,NA,NA
Fc_wpl,-15,15
LE_wpl,-65,65
Hc,-350,425
tau,-2,2
u_star,NA,NA
n_Tot,1799,18701
Ux_Avg,-100,100
Uy_Avg,-100,100
Uz_Avg,-100,100
Ts_Avg,-50,50
co2_mean_Avg,400,800
h2o_mean_Avg,0,25
co2_um_m_Avg,200,800
h2o_mm_m_Avg,0,100
rho_a_mean_Avg,0.9,2
press_Avg,60,110
wnd_dir_compass,NA,NA
wnd_dir_csat3,NA,NA
wnd_spd,0,150
rslt_wnd_spd,0,150
std_wnd_dir,NA,NA
stdev_Ts,NA,NA
stdev_co2,NA,NA
stdev_h2o,NA,NA
stdev_Ux,NA,NA
stdev_Uy,NA,NA
stdev_Uz,NA,NA
cov_Ts_Ux,NA,NA
cov_Ts_Uy,NA,NA
cov_Ts_Uz,NA,NA
cov_Ux_Uy,NA,NA
cov_Ux_Uz,NA,NA
cov_Uy_Uz,NA,NA
cov_co2_Ux,NA,NA
cov_co2_Uy,NA,NA
cov_co2_Uz,NA,NA
cov_h2o_Ux,NA,NA
cov_h2o_Uy,NA,NA
cov_h2o_Uz,NA,NA
co22_mean_Avg,400,800
h2o2_mean_Avg,0,25
co22_dry_Avg,200,800
h2o2_dry_Avg,0,100
press2_Avg,60,110
irga2_Tin_Avg,NA,NA
irga2_Tout_Avg,NA,NA
stdev_co22,NA,NA
stdev_h2o2,NA,NA
cov_co22_Ux2,NA,NA
cov_co22_Uy2,NA,NA
cov_co22_Uz2,NA,NA
cov_h2o2_Ux2,NA,NA
cov_h2o2_Uy2,NA,NA
cov_h2o2_Uz2,NA,NA
panelT_3000_in_Avg,-20,40
batt_3000_Avg,12.5,13.5
battbank_Avg,20,35
panelV_Avg,0,45
low12V_3000_Tot,0,0
watchdog_3000_Tot,0,0
csat_warnings,0,0
7500_warnings,0,0
7200_warnings,0,0
del_T_f_Tot,0,0
sig_lck_f_Tot,0,0
amp_h_f_Tot,0,0
amp_l_f_Tot,0,0
chopper_f_Tot,0,0
detector_f_Tot,0,0
pll_f_Tot,0,0
sync_f_Tot,0,0
agc_Avg,45,56
chopper2_f_Tot,0,0
detector2_f_Tot,0,0
pll2_f_Tot,0,0
sync2_f_Tot,0,0
agc2_Avg,0,0
Rad_short_Up_Avg,-10,1200
Rad_short_Dn_Avg,-10,1000
Rad_long_Up__Avg,-200,200
Rad_long_Dn__Avg,-30,30
CG3UpCo_Avg,150,425
CG3DnCo_Avg,230,505
NetTot_Avg,-130,1000
NetRs_Avg,-8,625
NetRl_Avg,-180,2
CNR4TC_Avg,-20,35
par_face_up_Avg,0,2300
par_face_down_Avg,-10,400
AirTC_4p5_Avg,-20,35
AirTC_8p75_Avg,-20,35
AirTC_16_Avg,-20,35
AirTC_24_Avg,-20,35
AirTC_36_Avg,-20,35
RH_4p5_Avg,0,1
RH_8p75_Avg,0,1
RH_16_Avg,0,1
RH_24_Avg,0,1
RH_36_Avg,0,1
RTD_C_Avg,-20,35
e_hmp_mean_Avg,0,2
e_sat_Avg,0,4
h2o_hmp_mean_Avg,0,20
WS_ms_4p5_Avg,0,400
WS_ms_8p75_Avg,0,400
WS_ms_16_Avg,0,400
WS_ms_24_Avg,0,400
WindDir_4p5_Avg,0,400
WindDir_8p75_Avg,0,400
WindDir_16_Avg,0,400
WindDir_24_Avg,NA,NA
irga2_flow_lpm_Avg,NA,NA
irga2_drive_per_Avg,NA,NA
daysonCard,0,45
crdFlag_Tot,0,0
crdMbFree,2200,10000
SkippedScan,-0.01,0.01
SkippedSlowScan,-0.01,0.01
